NAME                      INSTALLED   FIXED IN        TYPE          VULNERABILITY        SEVERITY  EPSS          RISK   
log4j-core                2.17.1      2.25.4          java-archive  GHSA-6hg6-v5c8-fphq  Medium    0.4% (31st)   0.2    
bcpkix-jdk15on            1.68        1.84            java-archive  GHSA-wg6q-6289-32hp  Medium    0.4% (31st)   0.2    
concurrent-ruby           1.1.9       1.3.7           gem           GHSA-h8w8-99g7-qmvj  High      0.3% (19th)   0.2    
rack                      2.2.10      2.2.23          gem           GHSA-x8cg-fq8g-mxfx  Medium    0.4% (30th)   0.2    
org.eclipse.core.runtime  3.7.0       3.29.0          java-archive  GHSA-j24h-xcpc-9jw8  Medium    0.4% (30th)   0.2    
faraday                   1.10.4      1.10.5          gem           GHSA-33mh-2634-fwr2  Medium    0.4% (27th)   0.2    
jackson-databind          2.9.10.8                    java-archive  GHSA-5jmj-h7xm-6q6v  Medium    0.3% (26th)   0.2    
busybox                   1.37.0                      binary        CVE-2025-60876       Medium    0.3% (20th)   0.2    
busybox                   1.37.0                      nix           CVE-2025-60876       Medium    0.3% (20th)   0.2    
jackson-core              2.9.10      2.13.0          java-archive  GHSA-wf8f-6423-gfxg  Medium    0.3% (23rd)   0.1    
sinatra                   2.2.1       4.2.0           gem           GHSA-mr3q-g2mv-mr4q  Low       0.5% (36th)   0.1    
rack                      2.2.10      2.2.23          gem           GHSA-vgpv-f759-9wx3  Medium    0.3% (16th)   0.1    
guava                     24.1.1-jre  32.0.0-android  java-archive  GHSA-7g45-4rm6-3mm3  Medium    0.2% (15th)   0.1    
rack                      2.2.10      2.2.23          gem           GHSA-7mqq-6cf9-v2qp  Medium    0.2% (15th)   0.1    
rack                      2.2.10      2.2.22          gem           GHSA-whrj-4476-wvmp  Medium    0.2% (12th)   0.1    
rack                      2.2.10      2.2.23          gem           GHSA-qv7j-4883-hwh7  Medium    0.2% (11th)   0.1    
jackson-databind          2.9.10.8    2.18.8          java-archive  GHSA-hgj6-7826-r7m5  Medium    0.2% (12th)   0.1    
rack                      2.2.10      2.2.23          gem           GHSA-q4qf-9j86-f5mh  Medium    0.2% (9th)    0.1    
rack                      2.2.10      2.2.14          gem           GHSA-vpfw-47h7-xj4g  Medium    0.2% (10th)   < 0.1  
