NAME                     INSTALLED  FIXED IN                            TYPE    VULNERABILITY        SEVERITY  EPSS          RISK   
axios                    1.7.9      1.15.1                              npm     GHSA-5c9x-8gcm-mpgx  Medium    0.3% (24th)   0.2    
busybox                  1.37.0                                         binary  CVE-2025-60876       Medium    0.3% (20th)   0.2    
busybox                  1.37.0                                         nix     CVE-2025-60876       Medium    0.3% (20th)   0.2    
node                     20.15.1    *20.19.2, 22.15.1                   binary  CVE-2025-23165       Low       0.5% (37th)   0.2    
markdown-it              14.1.0     14.2.0                              npm     GHSA-6v5v-wf23-fmfq  Medium    0.3% (22nd)   0.2    
node-forge               1.3.1      1.3.2                               npm     GHSA-65ch-62r8-g69g  Medium    0.3% (19th)   0.2    
node                     20.15.1    *20.20.2, 22.22.2, 24.14.1, 25.8.2  binary  CVE-2026-21717       Medium    0.3% (20th)   0.2    
prismjs                  1.27.0     1.30.0                              npm     GHSA-x7hr-w5r2-h6wg  Medium    0.3% (21st)   0.1    
axios                    1.7.9      1.16.0                              npm     GHSA-898c-q2cr-xwhg  Medium    0.3% (20th)   0.1    
handlebars               4.7.7      4.7.9                               npm     GHSA-2qvq-rjwj-gvw9  Medium    0.3% (19th)   0.1    
js-yaml                  3.14.1     3.15.0                              npm     GHSA-h67p-54hq-rp68  Medium    0.3% (17th)   0.1    
js-yaml                  4.1.0      4.2.0                               npm     GHSA-h67p-54hq-rp68  Medium    0.3% (17th)   0.1    
node                     20.15.1    *22.23.0, 24.17.0, 26.3.1           binary  CVE-2026-48931       Low       0.4% (29th)   0.1    
axios                    1.7.9      1.15.1                              npm     GHSA-445q-vr5w-6q77  Medium    0.2% (15th)   0.1    
@opentelemetry/core      1.15.1     2.8.0                               npm     GHSA-8988-4f7v-96qf  Medium    0.2% (14th)   0.1    
brace-expansion          1.1.11     1.1.12                              npm     GHSA-v6h2-p8h4-qcjw  Low       0.5% (36th)   0.1    
axios                    1.7.9      1.15.1                              npm     GHSA-xx6v-rp6x-q39c  Medium    0.2% (13th)   0.1    
node                     20.15.1    *20.20.0, 22.22.0, 24.13.0, 25.3.0  binary  CVE-2025-55132       Medium    0.2% (13th)   0.1    
axios                    1.7.9      1.15.1                              npm     GHSA-xhjh-pmcv-23jw  Low       0.2% (12th)   < 0.1  
busybox                  1.37.0                                         binary  CVE-2024-58251       Low       0.2% (14th)   < 0.1  
busybox                  1.37.0                                         nix     CVE-2024-58251       Low       0.2% (14th)   < 0.1  
tar                      6.2.1      7.5.16                              npm     GHSA-vmf3-w455-68vh  Medium    0.1% (1st)    < 0.1  
node                     20.15.1    *20.20.2, 22.22.2, 24.14.1, 25.8.2  binary  CVE-2026-21716       Low       0.2% (5th)    < 0.1  
node                     20.15.1    *22.23.0, 24.17.0, 26.3.1           binary  CVE-2026-48617       Low       0.2% (10th)   < 0.1  
node                     20.15.1    *20.20.2, 22.22.2, 24.14.1, 25.8.2  binary  CVE-2026-21715       Low       0.2% (5th)    < 0.1  
busybox                  1.37.0                                         binary  CVE-2025-46394       Low       0.1% (4th)    < 0.1  
busybox                  1.37.0                                         nix     CVE-2025-46394       Low       0.1% (4th)    < 0.1  
@tootallnate/once        2.0.0      2.0.1                               npm     GHSA-vpq2-c234-7xj6  Low       0.1% (1st)    < 0.1  
@hapi/content            5.0.2      6.0.2                               npm     GHSA-36hh-x5p5-jgc8  High      N/A           N/A    
basic-ftp                5.0.3      5.2.2                               npm     GHSA-6v7q-wjvx-w8wg  High      N/A           N/A    
linkify-it               5.0.0      5.0.1                               npm     GHSA-22p9-wv53-3rq4  High      N/A           N/A    
nodemailer               6.9.9      9.0.1                               npm     GHSA-p6gq-j5cr-w38f  High      N/A           N/A    
@hapi/inert              6.0.4      7.1.1                               npm     GHSA-rcvq-m9j9-6f4g  Medium    N/A           N/A    
@hapi/wreck              17.1.0     18.1.1                              npm     GHSA-vhjm-w67q-g75c  Medium    N/A           N/A    
@hapi/wreck              17.1.0     18.1.2                              npm     GHSA-x426-x7cc-3fpc  Medium    N/A           N/A    
follow-redirects         1.15.6     1.16.0                              npm     GHSA-r4q5-vmmm-2653  Medium    N/A           N/A    
handlebars               4.7.7      4.7.9                               npm     GHSA-7rx3-28cr-v5wh  Medium    N/A           N/A    
joi                      17.7.1     17.13.4                             npm     GHSA-q7cg-457f-vx79  Medium    N/A           N/A    
nodemailer               6.9.9      8.0.9                               npm     GHSA-268h-hp4c-crq3  Medium    N/A           N/A    
nodemailer               6.9.9      8.0.8                               npm     GHSA-r7g4-qg5f-qqm2  Medium    N/A           N/A    
nodemailer               6.9.9      8.0.5                               npm     GHSA-vvjj-xcjg-gr5g  Medium    N/A           N/A    
nodemailer               6.9.9      8.0.9                               npm     GHSA-wqvq-jvpq-h66f  Medium    N/A           N/A    
handlebars               4.7.7      4.7.9                               npm     GHSA-442j-39wm-28r2  Low       N/A           N/A    
nodemailer               6.9.9      8.0.4                               npm     GHSA-c7w3-x93f-qmm8  Low       N/A           N/A
